"name","lon","lat"
"Staatliche Hochschule für Gestaltung",8.38367346748866,49.0020371847458
"Sportzentrum PH-Weingarten",9.65431936748053,47.8146786971547
"Hauptgebäude der Hochschule",9.65320178622935,47.8143648846582
"B-Gebäude",9.65520257333418,47.8126759466626
"A-Gebäude",9.6547233859873,47.8128894356088
"D-Gebäude",9.65670478262918,47.8130489649437
"C-Gebäude",9.65587120740213,47.8124328700277
"W-Gebäude",9.65525722994729,47.8137814754315
"T-Gebäude",9.65159369591833,47.812826594843
"L-Gebäude",9.65127399681442,47.8131077597854
"K-Gebäude",9.65071784414395,47.8127550334691
"Naturwissenschaftliches Zentrum",9.64618051553463,47.8082233337086
"Pädagogische Hochschule",9.64469361846702,47.8097474101261
"Alte Burse / Institut für Philosophie und Kunstgeschichte",9.05490106676307,48.5194547706277
"Staatliche Akademie der bildenden Künste",9.17464168558129,48.8004227296014
"VWA-Hochschule",9.18375889724719,48.7923023180435
"Universität Konstanz",9.18827142102768,47.6900780196995
"Universität Heidelberg",8.66765847670818,49.4187003666927
"Campus Hohbuch",9.18704192819131,48.4817542854567
"V-Gebäude",9.64882835886908,47.8109924580846
"M-Gebäude",9.64972754054165,47.8105820064215
"P-Gebäude",9.64930686873291,47.8108171734951
"Hochschule für Musik und Darstellende Kunst",9.18633172660172,48.7783585830039
"Merz Akademie",9.21000825584528,48.7892968655134
"Hochschule Biberach",9.78754192944474,48.0938886075259
"Cafete",8.6953118,49.41430855
"Neuer Hörsaal, Bunker",8.69551375821195,49.414353708632
"Werkstattgebäude / Bibliothek Islamwissenschaft",8.69460097687333,49.414662946523
"CIP Pool, Werkstattgebäude",8.69509374473442,49.4147013604204
"Institut für Ethnologie / Islamwissenschaft / Beauftragte für Chancengleichheit / Studierendenrat",8.69473532933797,49.4144389175495
"Institut für Theoretische Physik / Institut für Theoretische Astrophysik",8.69549669097114,49.4148474395002
"HfWU Campus HauberKollegiengebäude K V",9.33868724593061,48.6297379368949
"G-Gebäude",9.65399874615293,47.81210357962
"E-Gebäude",9.6550748,47.8117289
"Institut für Bienenkunde",9.21102689720706,48.7093596246341
"Romanisches Seminar",8.70801315202369,49.4101560209241
"DHBW Mosbach - Campus Bad Mergentheim",9.77543939125339,49.4919296436821
"Stadt Mannheim",8.50409453946679,49.4815563722445
"Historischer Studentenkarzer",8.70640129086389,49.4113122975902
"Studentenmuseum",8.70660083331327,49.4113552631482
"Alte Universität, Rektorat",8.70635434126451,49.4112839710827
"Kunsthistorisches Institut",8.70844049661232,49.4098733314151
"Psychologisches Institut, Wohngebäude",8.6975331,49.41109425
"Institut für Übersetzen und Dolmetschen (IÜD)",8.69867874481745,49.4096930296564
"Theologisches Seminar",8.71446960928403,49.4127155458925
"Zentrum für Studienberatung",8.70384958139999,49.4086229512389
"Zeppelin Universität",9.43375502542362,47.6586667575925
"Int. Wissenschaftsforum",8.71635144021028,49.4133433841802
"Int. u. Interdisziplinäre Theologie, Wissenschaftliches Theologisches Seminar",8.71603668504094,49.4132389002119
"Heidelberg Collaboratory for Image Processing",8.67582023858055,49.3996408760409
"Musikhochschule",7.87239201464615,47.989089477198
"Adolf-Würth-Gebäude",8.41246935730765,49.0103224527798
NA,8.68774030202133,49.417743450049
"Macromedia GmbH",9.21193988713628,48.8138658845156
"Oberer Lindenhof",9.30420974536594,48.4739746990182
NA,8.68813071921718,49.4176949902543
"Zep1",8.6858608,49.42109945
"Hochschule für Kommunikation und Gestaltung",9.98726629332274,48.3929261575298
NA,8.20856162138789,48.0516700179962
"Popakademie Baden-Württemberg",8.45714535717689,49.4964081665713
"Duale Hochschule Heidenheim",10.1545582497695,48.6820083894443
"D",8.4584386,49.48817375
"A",8.45769604357909,49.4878773371114
"C",8.45836237561554,49.4874843730841
"Rhenania-Haus",8.45806749049387,49.487731973284
"A3",8.46126465581398,49.4854794266024
"Ökumenisches Institut, Wohnheim",8.7147798749954,49.4127689326398
"Hochschule für Gestaltung - Haus Goethe",9.79187601452022,48.7952268573858
"Hochschule für Gestaltung - Haus des Wissens",9.79346120810752,48.7935736138358
"Staatliches Hochbauamt Freiburg",7.86663543607263,47.9918675939715
"DHBW Lörrach",7.67744281808761,47.6172285051603
"Evangelische Hochschule Ludwigsburg - Campus Reutlingen",9.18936942651148,48.4836937244095
"DHBW Lörrach - Campus Marie-Curie-Straße",7.6583096,47.60889885
"Akademie im Universitätsklinikum",7.8344966750964,48.002717157016
"Hochschule Biberach Haus F",9.78613066917291,48.0935587870294
"Hochschule Heilbronn",9.20997854894554,49.1226596668267
"Kunstakademie",8.38998372596237,49.0118667859391
"Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen",9.35190158449747,48.6089322074488
"Staatliche Hochschule für Musik und Darstellende Kunst",8.47084191717388,49.4838724690946
"Hochschule für Polizei Villingen-Schwenningen",8.51535092286331,48.0653070809656
"Pädagogische Hochschule Freiburg",7.89252903413368,47.9817517622265
"Hochschule Kehl",7.81714969250116,48.5747184542312
NA,9.20426588450643,49.1250712074488
"Gustav-Siewerth-Akademie",8.19842125529442,47.6784250649575
"DHBW Ravensburg Campus Friedrichshafen",9.44769407943191,47.6650790281268
"SRH Wieblingen Campus",8.6533177649888,49.4129862094367
"Zentrum für Europäische Wirtschaftsforschung",8.46603820269112,49.4819690412905
"Verfügungsgebäude Rechtswissenschaften und Volkwirtschaftslehre",8.46630670823685,49.4825873270059
"Otto-Mann-Institut",8.46786042307299,49.4822278638886
"Gästehaus der Universität",8.46521788253464,49.4847941512789
